ID,MO,YLD,HT
0,-0.801514,0.939071,0.526085
1,-0.488174,-0.525712,0.313674
2,-0.454526,1.52083,0.607651
3,-1.09048,0.224008,-0.408521
4,-0.274373,-0.130268,-0.196111
5,-0.128452,0.692075,0.405011
6,0.249014,-0.0402884,-1.42809
7,-1.30246,0.603468,0.22871
8,0.321358,1.04968,1.15737
9,-1.5368,0.0534928,1.15355
10,0.816126,-0.212063,-0.342249
11,0.784546,-1.1646,-0.680407
12,1.13557,-0.412791,0.616997
13,0.0609902,-1.19861,-0.748378
14,-0.298539,-1.04129,-0.108598
15,0.74416,-0.654938,0.733398
16,0.34177,-1.62715,-0.833343
17,0.00563986,-2.69646,-1.08824
18,-0.104624,1.39456,1.68712
19,0.254683,1.53641,1.51371
20,-0.25927,1.26924,1.21599
21,1.15915,-1.26327,-0.773868
22,0.358112,2.13854,1.64455
23,0.020244,0.743236,1.25576
24,-0.298344,-0.887395,-0.535968
25,-0.0290834,0.986923,1.23086
26,-0.868867,0.116742,0.780978
27,-0.13829,-0.806854,0.492524
28,-0.0515734,1.69753,1.5618
29,-0.0315517,1.556,1.62014
30,0.420649,-0.552572,-1.30065
31,0.0166478,-2.31327,-1.13072
32,0.197612,0.510028,-0.402857
33,0.786481,-1.10175,-1.30065
34,0.371489,-0.0508939,-0.504531
35,-0.340735,0.0746158,0.356156
36,-0.151464,0.713755,0.342562
37,-2.95167,1.2116,-0.130688
38,-0.722091,0.748326,0.384478
39,-0.928307,0.640819,0.79174
40,0.378164,0.24529,0.501728
41,0.657826,-0.63075,-0.937848
42,-0.0659842,-0.0133252,-0.295236
43,-0.211637,-0.806232,-0.889985
44,-0.303917,0.214558,-0.295236
45,0.00615003,-0.407168,0.441121
46,0.00703299,-1.40974,-0.295236
47,0.58577,-1.61297,-0.833343
48,0.113534,1.22949,1.30011
49,-0.293751,-1.67261,-0.748378
50,1.2657,-0.317855,-1.42809
51,1.08762,-2.83513,-1.47057
52,0.976696,-0.280512,-0.0363782
53,1.31841,-1.03738,-0.419567
54,-1.87588,-0.436811,0.735947
55,1.19036,-1.3929,-1.47652
56,-0.769144,-0.6466,0.259864
57,1.56173,-0.169623,0.926266
58,-2.159,-0.0478377,0.611049
59,1.5834,-0.722449,-0.478192
60,0.394711,-0.310781,-0.0865071
61,1.14285,0.0608906,-0.0814092
62,1.01104,-0.0780796,-0.822297
63,-2.56586,1.41866,1.12695
64,-0.310969,0.598792,1.00755
65,-0.339308,0.19088,0.469159
66,-0.617743,-0.745567,0.475956
67,0.863387,-0.117833,0.526085
68,0.417615,-0.429513,-0.960789
69,1.43572,-0.908708,0.441121
70,0.305042,-0.290215,0.780978
71,-0.0228709,0.335741,0.327835
72,-0.531538,0.445573,-0.805021
73,-0.582015,0.795711,2.56523
74,0.289469,-1.62386,-0.960789
75,1.52955,-0.0362807,-2.10781
76,0.47702,-1.47794,-0.748378
77,-0.363136,0.432316,1.45135
78,-0.392842,-0.000613308,2.53379
79,0.928682,-0.932583,-1.09291
80,0.631198,-2.40487,-0.875825
81,-1.64797,4.53469,1.29076
82,0.877967,0.353777,0.871889
83,0.122781,2.07462,1.46069
84,1.53468,-1.25427,-1.75775
85,1.15924,-0.800586,-1.01941
86,0.565435,0.968894,0.606801
87,1.66637,-1.38574,-0.0907553
88,1.59779,-0.931949,0.741044
89,1.22224,-0.4614,-0.19866
90,0.253342,-1.01707,-0.620932
91,0.10726,-1.30038,0.242871
92,0.240491,1.09484,1.29076
93,0.132279,0.491368,1.03502
94,-1.65596,-0.435708,0.271192
95,1.41886,-2.36128,-0.202058
96,-0.166431,1.3293,0.780978
97,-2.09221,-0.473047,-0.243691
98,1.23107,-0.284153,-0.0686646
99,0.667275,-0.107247,0.780978
100,-1.06131,2.82231,1.25338
101,0.202268,1.40596,1.06136
102,-3.25913,1.73482,0.271192
103,-2.9503,0.617307,1.14916
104,0.0553164,-0.626151,-0.220751
105,-0.35626,-0.646096,0.562195
106,-0.542089,0.973893,1.41311
107,-0.631106,0.172383,0.865942
108,0.398684,-1.06956,-0.408521
109,-1.00559,-0.734388,0.455989
110,-2.16217,0.101947,0.497764
111,-0.837626,1.40171,1.3866
112,1.2401,0.135692,0.503994
113,-0.182367,0.589242,1.39017
114,-2.63902,0.0843104,0.611049
115,-0.644445,-0.922319,-0.464598
116,-0.211085,-1.27252,-0.663414
117,-1.52307,-0.981503,-0.281075
118,-1.60714,0.837981,0.570266
119,0.54295,-1.63364,-1.42894
120,0.00753487,0.541109,0.0279114
121,-0.878908,0.215797,-0.805021
122,-0.407731,-1.91136,-1.47057
123,-0.0639515,0.439415,0.556389
124,-0.757325,-0.330629,0.384478
125,-2.38088,1.14023,0.462362
126,0.338406,0.381634,-0.0304307
127,0.0777532,-0.537439,0.470009
128,0.161307,1.20567,0.960252
129,0.563331,0.65083,-0.300617
130,0.505905,0.421675,-0.0686646
131,0.0954415,-0.133103,0.271192
132,-0.305153,1.55301,1.16672
133,0.947086,0.117957,-0.179968
134,-0.464801,0.795684,1.23639
135,0.584757,-0.303011,0.160739
136,-4.44303,-0.527359,-0.57845
137,-0.00578657,0.0255215,0.192176
138,-0.832919,1.44894,1.53291
139,-1.07751,0.936489,0.0587817
140,1.94867,-0.254298,0.00780321
141,1.03467,0.911604,0.441121
142,1.01147,0.055686,-0.310813
143,1.30558,0.771138,-0.57845
144,0.317506,0.740741,0.101264
145,0.122781,1.60053,1.46069
146,-0.694836,0.712571,-0.445906
147,-0.6454,1.47355,0.485642
148,0.132322,0.69186,-0.306564
149,0.509832,-1.18853,-1.2348
150,0.157353,1.62087,-1.00497
151,0.428025,-0.190829,-0.53087
152,0.603798,-0.0202463,-0.297218
153,1.15948,-1.0447,-0.766221
154,1.03416,-1.10565,-1.20888
155,0.893251,-0.623547,0.0451875
156,1.14833,-0.917018,-0.0635667
157,0.842384,-0.385401,-1.21483
158,0.232524,-1.62956,-1.05991
159,0.907356,-0.0241617,-0.346498
160,0.821607,-0.634977,-1.35757
161,0.643708,0.989244,0.617846
162,0.437528,-0.817172,-0.295094
163,0.40067,1.2652,0.979794
164,0.049134,-0.391068,0.373999
165,-0.0720507,1.03381,-0.0686646
166,0.226136,0.740235,-0.918307
167,1.60456,-1.10805,-0.311662
168,-0.458543,-0.00298751,0.748691
169,0.974524,0.48319,0.493799
170,0.243946,-0.70705,-0.345223
171,1.02178,-0.197682,-0.242841
172,-0.217232,-0.15472,-0.449304
173,0.0571371,0.133408,-0.238593
174,0.292832,-0.175067,-0.0120218
175,0.603991,-0.404473,0.270767
176,-1.04288,0.60971,-0.992226
177,-0.12707,1.17071,-0.284814
178,1.45744,0.165864,0.402037
179,0.0531616,1.25811,0.402037
180,-0.118903,0.6984,0.33534
181,-1.74264,1.69877,1.74405
182,-0.633315,-0.75207,0.0927674
183,1.47094,-0.717056,-0.209705
184,1.50802,0.115688,-0.688054
185,0.675509,-0.155657,-0.238593
186,1.16196,0.319601,-0.318459
187,1.34867,-0.233677,-0.45865
188,1.03671,-0.647297,-1.36777
189,0.13024,-0.00930078,0.317498
190,0.89433,1.16814,0.611049
191,1.39052,0.136807,-0.501982
192,-0.427304,1.84503,-0.646421
193,0.277914,0.415219,-0.238593
194,0.748787,-1.75418,-2.27773
195,0.901471,-0.141918,0.194724
196,0.546539,-0.585017,0.505693
197,0.758908,1.46477,0.441121
198,1.31366,-0.796258,-0.218202
199,0.894413,-0.295465,-0.845237
200,0.0984981,1.25057,0.601703
201,0.156681,1.42,1.29076
202,0.417146,0.544922,0.658346
203,1.10068,-0.704269,-0.408521
204,0.691723,-0.597153,-0.86308
205,0.675931,-1.58322,-1.20719
206,0.103919,0.352637,-0.0880364
207,0.760293,0.858773,0.441121
208,0.0858675,-0.371343,-0.0363782
209,1.19297,-0.348832,-0.500283
210,0.436158,0.0485626,-1.66684
211,1.02515,0.34781,-0.676159
212,0.0877748,-0.437426,-0.163825
213,1.20668,-0.885336,0.0851206
214,0.466193,-0.098618,-0.096986
215,0.43772,0.30659,-0.5776
216,0.823425,-0.402461,-0.645572
217,0.222784,-0.454689,-0.57845
218,0.83199,0.304806,-0.113696
219,-0.113516,-0.527051,-2.78752
220,-1.1152,2.11097,1.64931
221,0.534361,-0.132587,0.104662
222,-0.0271277,0.573946,-0.216502
223,0.377329,-0.465412,-0.137486
224,-0.876744,-0.587132,-1.68298
225,0.0520807,-1.66974,-2.44256
226,0.0628341,-1.57939,-1.85291
227,-0.522321,0.476277,-1.29328
228,0.257472,0.892993,-1.25816
229,0.6152,-0.983601,-0.918307
230,0.645807,0.202389,-0.0686646
231,-0.119671,0.339631,-0.18195
232,0.821874,-0.31124,-0.515576
233,0.932715,-0.320674,-0.168922
234,2.01206,-1.29372,-1.61331
235,0.862888,-0.420971,-0.0610178
236,0.722793,1.30937,-0.0686646
237,-0.166834,0.6014,1.555
238,0.565513,0.491023,0.950906
239,-0.198568,0.136418,0.473407
240,-0.992373,1.88,1.80055
241,-1.25291,0.735489,1.41693
242,0.352235,-0.563986,0.541378
243,-0.477647,1.36201,1.33409
244,0.173688,-0.234739,0.542228
245,-0.253995,0.968055,0.493799
246,-1.03064,1.40388,0.832806
247,-1.47899,0.132445,1.46069
248,-1.53329,0.981996,0.676472
249,-0.267642,-0.0521763,-0.587796
250,0.144686,0.788151,0.435173
251,0.232822,0.601383,1.03757
252,-0.847056,0.182757,1.18243
253,-1.30612,-0.680743,-0.918307
254,-0.0818662,0.673228,1.24913
255,-0.641374,1.09069,1.29076
256,1.09993,-0.832097,-0.748378
257,-0.905792,2.20088,0.691765
258,0.360455,-0.815106,-1.04575
259,-0.399988,-1.0424,-0.734784
260,1.08296,-0.359989,-0.343949
261,0.495131,1.3251,1.4301
262,0.616315,0.607421,-0.238593
263,-0.952208,0.868671,1.77846
264,0.240755,-0.351411,0.597455
